game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Reshad Jones,JoneRe99,0,2,2,1,27,13.5,13.5,0,118.7,9,18,9,2,1,0,0,1,5,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Jamal Perry,WiltJo01,0,2,2,1,72,36,36,1,158.3,33,66,6,0,0,0,0,0,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Samuel Eguavoen,EguaSa00,0,1,1,1,7,7,7,0,95.8,4,4,3,5,0,0,0.5,1,5,2,0.286
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Xavien Howard,HowaXa00,0,1,1,1,12,12,12,0,116.7,9,9,3,0,0,0,0,0,5,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Raekwon McMillan,McMiRa02,0,1,1,1,9,9,9,0,104.2,8,8,1,1,0,0,0,0,4,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Jonathan Ledbetter,LedbJo01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.5,2,4,1,0.2
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Charles Harris,HarrCh03,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Jerome Baker,BakeJe00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,9,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Chris Lammons,LammCh00,0,2,0,0,NA,NA,0,NA,39.6,21.5,NA,NA,0,0,0,0,0,0,0,NA
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Christian Wilkins,WilkCh00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,1,0.2
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Bobby McCain,McCaBo01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,1,0.25
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,James Crawford,CrawJa01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,Avery Moss,MossAv00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,5,1,0.167
2019_01_BAL_MIA,201909080mia,2019,1,REG,MIA,BAL,John Jenkins,JenkJo00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,1,0.2
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Anthony Averett,AverAn00,0,13,8,0.615,105,13.1,8.1,1,112.7,16.8,99,6,0,0,0,0,0,4,1,0.2
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Patrick Onwuasor,OnwuPa00,0,4,4,1,57,14.3,14.3,0,118.7,6.5,26,31,7,1,1,1,3,6,2,0.25
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Kenny Young,YounKe03,0,1,1,1,26,26,26,0,118.7,13,13,13,4,0,2,0,2,2,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Tony Jefferson,JeffTo00,0,3,1,0.333,5,5,1.7,0,42.4,8.3,4,1,2,1,0,0,1,3,1,0.25
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Earl Thomas,ThomEa99,1,1,1,1,-3,-3,-3,0,39.6,-3,-3,0,1,0,0,0,0,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Matt Judon,JudoMa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,3,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Chris Wormley,WormCh00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,0,NA
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Pernell McPhee,McPhPe00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,1,2,2,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Anthony Levine,LeviAn00,0,1,0,0,NA,NA,0,NA,39.6,8,NA,NA,4,1,0,0,1,0,0,NA
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Chuck Clark,ClarCh00,0,3,0,0,NA,NA,0,NA,39.6,3,NA,NA,3,1,0,0,1,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Tyus Bowser,BowsTy00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,0,1,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Patrick Ricard,RicaPa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Brandon Carr,CarrBr99,0,2,0,0,NA,NA,0,NA,39.6,19.5,NA,NA,0,0,0,0,0,0,1,1
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Marlon Humphrey,HumpMa00,1,4,0,0,NA,NA,0,NA,0,20.8,NA,NA,0,0,0,0,0,1,0,0
2019_01_BAL_MIA,201909080mia,2019,1,REG,BAL,MIA,Brynden Trawick,TrawBr00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Jayron Kearse,KearJa00,0,9,7,0.778,49,7,5.4,0,89.4,4,22,27,2,0,0,0,0,9,0,0
