game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Noah Fant,FantNo00,0,0,0,0,104.6
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Tim Patrick,PatrTi00,0,0,0,0,70.8
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Courtland Sutton,SuttCo00,0,0,0,1,18.2
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Javonte Williams,WillJa10,0,0,0,0,81.9
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Melvin Gordon,GordMe00,2,0,0,0,56.2
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Kendall Hinton,HintKe00,0,1,0.333,0,47.9
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Albert Okwuegbunam,OkwuAl00,0,0,0,0,66.7
2021_04_BAL_DEN,202110030den,2021,4,REG,DEN,BAL,Diontae Spencer,SpenDi00,0,0,0,0,39.6
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Mark Andrews,AndrMa00,0,0,0,0,89.1
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,James Proche,ProcJa00,0,0,0,0,118.1
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Marquise Brown,BrowMa04,0,0,0,0,158.3
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Sammy Watkins,WatkSa00,0,1,0.143,0,78.9
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Devin Duvernay,DuveDe00,0,0,0,0,65.3
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Patrick Ricard,RicaPa00,0,0,0,0,83.3
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Le'Veon Bell,BellLe00,0,0,0,0,39.6
2021_04_BAL_DEN,202110030den,2021,4,REG,BAL,DEN,Josh Oliver,OlivJo00,0,0,0,0,39.6
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Davante Adams,AdamDa01,0,0,0,0,71.8
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Randall Cobb,CobbRa00,0,0,0,0,154.2
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Aaron Jones,JoneAa00,1,0,0,0,116.7
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Allen Lazard,LazaAl00,0,0,0,0,103.5
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Robert Tonyan,TonyRo00,0,0,0,0,39.6
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Marcedes Lewis,LewiMa00,0,0,0,0,58.3
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,AJ Dillon,DillAJ00,0,0,0,0,118.7
2021_04_PIT_GB,202110030gnb,2021,4,REG,GB,PIT,Equanimeous St. Brown,St.BEq00,0,1,1,0,39.6
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Diontae Johnson,JohnDi01,1,0,0,1,82.9
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Najee Harris,HarrNa00,1,0,0,0,83.9
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,James Washington,WashJa00,0,0,0,0,118.7
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Eric Ebron,EbroEr00,0,0,0,0,83.3
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,JuJu Smith-Schuster,SmitJu00,0,0,0,0,39.6
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Pat Freiermuth,FreiPa00,0,0,0,0,112.5
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Zach Gentry,GentZa00,0,0,0,0,108.3
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Ray-Ray McCloud,McClRa00,0,0,0,0,79.2
2021_04_PIT_GB,202110030gnb,2021,4,REG,PIT,GB,Benny Snell Jr.,SnelBe00,0,1,1,0,39.6
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Jakobi Meyers,MeyeJa01,0,1,0.083,0,81.9
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Brandon Bolden,BoldBr00,3,0,0,0,102.1
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Kendrick Bourne,BourKe00,0,0,0,0,115
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Hunter Henry,HenrHu00,1,0,0,0,132.9
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Nelson Agholor,AghoNe00,1,0,0,1,58.3
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Jonnu Smith,SmitJo01,0,0,0,0,104.2
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,Damien Harris,HarrDa06,1,0,0,0,118.7
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,N'Keal Harry,HarrNK00,0,0,0,0,108.3
2021_04_TB_NE,202110030nwe,2021,4,REG,NE,TB,J.J. Taylor,TaylJJ01,0,0,0,0,79.2
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Antonio Brown,BrowAn04,0,1,0.091,0,79
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Mike Evans,EvanMi00,0,1,0.083,0,76.7
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Leonard Fournette,FourLe00,0,2,0.4,0,91.2
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Chris Godwin,GodwCh00,0,0,0,0,97.9
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Cameron Brate,BratCa00,0,1,0.167,0,50
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,O.J. Howard,HowaO.00,0,0,0,0,39.6
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Tyler Johnson,JohnTy00,0,0,0,0,39.6
2021_04_TB_NE,202110030nwe,2021,4,REG,TB,NE,Codey McElroy,McElCo00,0,0,0,0,39.6
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Keenan Allen,AlleKe00,0,1,0.091,0,68.7
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Jared Cook,CookJa02,0,0,0,0,147.9
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Justin Jackson,JackJu01,0,0,0,0,84.4
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Austin Ekeler,EkelAu00,0,0,0,0,115
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Donald Parham,ParhDo00,0,0,0,0,120.8
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Stephen Anderson,AndeSt01,0,0,0,0,118.7
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Jalen Guyton,GuytJa01,0,0,0,0,62.5
